time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-07-28 11:01:34.290 UTC, ,6000,75905104,636632,72346032,407344, ,2949, , , , , , , , , , ,2,2946,453, , , ,2265,706,625, , , , , , , , , , , , , , , , ,201867598476,423,351328,201867592685, , , , ,472050262,337006084096,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472050262, ,1595929467251, , , , ,3145728,201867598476, , , ,0, , , , , , , ,3, , , , , ,19, , , , , , , , , , , , , , , , , , ,510059696,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-07-28 11:02:34.293 UTC, ,6000,75905104,636632,72346032,407344, ,2949, , , , , , , , , , ,2,2946,453, , , ,2265,706,625, , , , , , , , , , , , , , , , ,201867598476,423,351328,201867592685, , , , ,472050262,337005993984,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472050262, ,1595929467251, , , , ,3145728,201867598476, , , ,0, , , , , , , ,3, , , , , ,19, , , , , , , , , , , , , , , , , , ,517071256,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-07-28 11:03:34.296 UTC, ,6000,75905104,636632,72346032,407344, ,2949, , , , , , , , , , ,2,2946,453, , , ,2265,706,625, , , , , , , , , , , , , , , , ,201867598476,423,351328,201867592685, , , , ,472050262,337004052480,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472050262, ,1595929467251, , , , ,3145728,201867598476, , , ,0, , , , , , , ,3, , , , , ,19, , , , , , , , , , , , , , , , , , ,518415536,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-07-28 11:04:34.299 UTC, ,6000,75905104,636632,72346032,407344, ,2949, , , , , , , , , , ,2,2946,453, , , ,2265,706,625, , , , , , , , , , , , , , , , ,201867598476,423,351328,201867592685, , , , ,472050262,337004228608,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472050262, ,1595929467251, , , , ,3145728,201867598476, , , ,0, , , , , , , ,3, , , , , ,19, , , , , , , , , , , , , , , , , , ,519881032,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-07-28 11:05:34.303 UTC, ,6000,75905104,636632,72346032,407344, ,2949, , , , , , , , , , ,2,2946,453, , , ,2265,706,625, , , , , , , , , , , , , , , , ,201867598476,423,351328,201867592685, , , , ,472050262,337007419392,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472050262, ,1595929467251, , , , ,3145728,201867598476, , , ,0, , , , , , , ,3, , , , , ,19, , , , , , , , , , , , , , , , , , ,521351104,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-07-28 11:06:34.306 UTC, ,6000,75905104,636632,72346032,407344, ,2949, , , , , , , , , , ,2,2946,453, , , ,2265,706,625, , , , , , , , , , , , , , , , ,201867598476,423,351328,201867592685, , , , ,472050262,337007374336,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472050262, ,1595929467251, , , , ,3145728,201867598476, , , ,0, , , , , , , ,3, , , , , ,19, , , , , , , , , , , , , , , , , , ,522248200,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-07-28 11:07:34.308 UTC, ,6000,75905104,636632,72346032,407344, ,2949, , , , , , , , , , ,2,2946,453, , , ,2265,706,625, , , , , , , , , , , , , , , , ,201867598476,423,351328,201867592685, , , , ,472050262,337006604288,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472050262, ,1595929467251, , , , ,3145728,201867598476, , , ,0, , , , , , , ,3, , , , , ,19, , , , , , , , , , , , , , , , , , ,523844088,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-07-28 11:08:34.311 UTC, ,6000,75905104,636632,72346032,407344, ,2949, , , , , , , , , , ,2,2946,453, , , ,2265,706,625, , , , , , , , , , , , , , , , ,201867598476,423,351328,201867592685, , , , ,472050262,337005985792,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472050262, ,1595929467251, , , , ,3145728,201867598476, , , ,0, , , , , , , ,3, , , , , ,19, , , , , , , , , , , , , , , , , , ,524992488,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-07-28 11:09:34.314 UTC, ,6000,75905104,636632,72346032,407344, ,2949, , , , , , , , , , ,2,2946,453, , , ,2265,706,625, , , , , , , , , , , , , , , , ,201867598476,423,351328,201867592685, , , , ,472050262,337005785088,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472050262, ,1595929467251, , , , ,3145728,201867598476, , , ,0, , , , , , , ,3, , , , , ,19, , , , , , , , , , , , , , , , , , ,526462128,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-07-28 11:10:34.317 UTC, ,6000,75905104,636632,72346032,407344, ,2949, , , , , , , , , , ,2,2946,453, , , ,2265,706,625, , , , , , , , , , , , , , , , ,201867598476,423,351328,201867592685, , , , ,472050262,337004793856,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,472050262, ,1595929467251, , , , ,3145728,201867598476, , , ,0, , , , , , , ,3, , , , , ,19, , , , , , , , , , , , , , , , , , ,527676072,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
