time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-08-31 07:51:30.110 UTC, ,11000,24745304,723264,21181232,407344, ,562, ,13997, , , , , , , , , ,562,346, , , ,327,21,624, ,13812, , , , , , , , , , , , , , ,373665467366,882,4310,373665464487, , , , ,868923444,231145754624,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,868923444, ,1598858239695, , , , ,3145728,373665467366, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,611891200,-1, , , , , , ,2113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13813,35, , , , , , , 
2020-08-31 07:52:30.178 UTC, ,11000,24745304,723264,21181232,407344, ,562, ,13997, , , , , , , , , ,562,346, , , ,327,21,624, ,13812, , , , , , , , , , , , , , ,373665467366,882,4310,373665464487, , , , ,868923444,231144456192,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,868923444, ,1598858239695, , , , ,3145728,373665467366, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , ,1,3,203426328,-1, , , , , , ,2113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13813,35, , , , , , , 
2020-08-31 07:53:30.181 UTC, ,11000,24745304,723264,21181232,407344, ,562, , , , , , , , , , , ,562,346, , , ,327,21,624, , , , , , , , , , , , , , , , ,373665467366,882,4310,373665464487, , , , ,868923444,231126700032,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,868923444, ,1598858239695, , , , ,3145728,373665467366, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,212056040,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-31 07:54:30.184 UTC, ,11000,24745304,723264,21181232,407344, ,562, , , , , , , , , , , ,562,346, , , ,327,21,624, , , , , , , , , , , , , , , , ,373665467366,882,4310,373665464487, , , , ,868923444,231107084288,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,868923444, ,1598858239695, , , , ,3145728,373665467366, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,213167944,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-31 07:55:30.186 UTC, ,11000,24745304,723264,21181232,407344, ,562, ,13997, , , , , , , , , ,562,346, , , ,327,21,624, ,13812, , , , , , , , , , , , , , ,373665467366,882,4310,373665464487, , , , ,868923444,231095660544,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,868923444, ,1598858239695, , , , ,3145728,373665467366, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,401092928,-1, , , , , , ,2113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13813,35, , , , , , , 
2020-08-31 07:56:30.189 UTC, ,11000,24745304,723264,21181232,407344, ,562, , , , , , , , , , , ,562,346, , , ,327,21,624, , , , , , , , , , , , , , , , ,373665467366,882,4310,373665464487, , , , ,868923444,231101714432,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,868923444, ,1598858239695, , , , ,3145728,373665467366, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,402204832,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-31 07:57:30.191 UTC, ,11000,24745304,723264,21181232,407344, ,562, , , , , , , , , , , ,562,346, , , ,327,21,624, , , , , , , , , , , , , , , , ,373665467366,882,4310,373665464487, , , , ,868923444,231100084224,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,868923444, ,1598858239695, , , , ,3145728,373665467366, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,403316696,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-08-31 07:58:30.194 UTC, ,11000,24745304,723264,21181232,407344, ,562, ,13997, , , , , , , , , ,562,346, , , ,327,21,624, ,13812, , , , , , , , , , , , , , ,373665467366,882,4310,373665464487, , , , ,868923444,231102873600,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,868923444, ,1598858239695, , , , ,3145728,373665467366, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,589944584,-1, , , , , , ,2113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13813,35, , , , , , , 
2020-08-31 07:59:30.197 UTC, ,11000,24745304,723264,21181232,407344, ,562, ,13970, , , , , , , , , ,562,346, , , ,327,21,624, ,13786, , , , , , , , , , , , , , ,373665467366,882,4310,373665464487, , , , ,868923444,231102050304,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,868923444, ,1598858239695, , , , ,3145728,373665467366, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , ,1,2,181375408,-1, , , , , , ,2087, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13787,34, , , , , , , 
2020-08-31 08:00:30.199 UTC, ,11000,24745304,723264,21181232,407344, ,562, , , , , , , , , , , ,562,346, , , ,327,21,624, , , , , , , , , , , , , , , , ,373665467366,882,4310,373665464487, , , , ,868923444,231105294336,95,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,868923444, ,1598858239695, , , , ,3145728,373665467366, , , ,0, , , , , , , ,3, , , , , ,21, , , , , , , , , , , , , , , , , , ,189391376,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
