Csaladihaz;;;;
Elem ID;Egyedi ID;ARCHICAD Classification - 22;Érintett helyiség neve;Követelmények
BEM-P-001;31D60838-2EFB-4813-BF2A-8773F796FBEF;Beam;;3-9-Hőátbocsátás#10-7-Forma#10-10-Ökológiai lábnyom#5-2-Akadálymentesítés#6-10-Léghang gátlás#5-8-Színhasználat#
BEM-P-002;670A9598-A68E-46B7-B195-9550DD8C6A49;Beam;;10-8-Hőátbocsátás#4-6-Forma#8-1-Ökológiai lábnyom#2-9-Akadálymentesítés#3-3-Léghang gátlás#1-3-Színhasználat#
BEM-P-003;7AE1F62E-0E80-41AE-AAA1-DA6A293860C4;Beam;;7-1-Hőátbocsátás#9-8-Forma#9-8-Ökológiai lábnyom#1-5-Akadálymentesítés#4-7-Léghang gátlás#8-8-Színhasználat#
BEM-P-004;18A97C5A-60F9-42EB-9874-D1D8B13DC7DB;Beam;;8-4-Hőátbocsátás#1-10-Forma#9-4-Ökológiai lábnyom#4-9-Akadálymentesítés#5-10-Léghang gátlás#3-3-Színhasználat#
BEM-P-005;05ECDCF0-C75A-4D62-961A-A73DB55BACAF;Beam;;10-3-Hőátbocsátás#10-8-Forma#10-5-Ökológiai lábnyom#8-9-Akadálymentesítés#4-5-Léghang gátlás#5-7-Színhasználat#
BEM-P-006;4973A5EF-7555-496F-A788-D605A359CED5;Beam;;2-8-Hőátbocsátás#4-5-Forma#9-1-Ökológiai lábnyom#9-5-Akadálymentesítés#2-4-Léghang gátlás#6-9-Színhasználat#
BEM-P-007;7BEACEA1-FD89-4CAA-B791-923128FDDB72;Beam;;2-6-Hőátbocsátás#3-8-Forma#2-5-Ökológiai lábnyom#1-5-Akadálymentesítés#1-2-Léghang gátlás#5-4-Színhasználat#
BEM-P-008;74F32542-8980-4954-B601-A5F9800126F5;Beam;;5-9-Hőátbocsátás#8-2-Forma#1-10-Ökológiai lábnyom#5-4-Akadálymentesítés#2-6-Léghang gátlás#9-5-Színhasználat#
BEM-P-009;2A4411C3-0352-4BF7-A5F2-DF62C56034AC;Beam;;2-2-Hőátbocsátás#7-7-Forma#6-3-Ökológiai lábnyom#9-9-Akadálymentesítés#10-4-Léghang gátlás#10-4-Színhasználat#
BEM-P-010;4A1C5A2D-7536-41A1-9A77-EE468568A40F;Beam;;7-9-Hőátbocsátás#6-4-Forma#5-7-Ökológiai lábnyom#10-5-Akadálymentesítés#2-1-Léghang gátlás#4-8-Színhasználat#
BEM-P-011;839FC082-150E-48A3-8C22-6CDDF91F2FA8;Beam;;2-4-Hőátbocsátás#10-3-Forma#1-6-Ökológiai lábnyom#5-4-Akadálymentesítés#10-6-Léghang gátlás#10-5-Színhasználat#
BEM-P-012;705E1128-9117-4264-AE00-F3B649559BC0;Beam;;9-7-Hőátbocsátás#6-3-Forma#2-5-Ökológiai lábnyom#8-8-Akadálymentesítés#8-3-Léghang gátlás#1-7-Színhasználat#
BEM-P-013;F1905626-4D3F-4095-8A67-0B430E67C148;Beam;;4-5-Hőátbocsátás#1-8-Forma#3-8-Ökológiai lábnyom#8-1-Akadálymentesítés#9-7-Léghang gátlás#7-8-Színhasználat#
